package,versions,declared_license,source
@workflow/world-vercel,4.7.1,Apache-2.0,https://github.com/vercel/workflow#readme
b4a,1.8.1,Apache-2.0,https://github.com/holepunchto/b4a#readme
bare-events,2.9.2,Apache-2.0,https://github.com/holepunchto/bare-events#readme
baseline-browser-mapping,2.11.21,Apache-2.0,https://github.com/web-platform-dx/baseline-browser-mapping#readme
before-after-hook,4.0.0,Apache-2.0,https://github.com/gr2m/before-after-hook#readme
class-variance-authority,0.7.1,Apache-2.0,https://github.com/joe-bell/cva#readme
clean-git-ref,2.0.1,Apache-2.0,https://github.com/TheSavior/clean-git-ref#readme
crc-32,1.2.2,Apache-2.0,https://sheetjs.com/
detect-libc,2.1.2,Apache-2.0,https://github.com/lovell/detect-libc#readme
ejs,3.1.10;6.0.1,Apache-2.0,https://github.com/mde/ejs
events-universal,1.0.1,Apache-2.0,https://github.com/holepunchto/events-universal#readme
expect-type,1.4.0,Apache-2.0,https://github.com/mmkal/expect-type#readme
filelist,1.0.6,Apache-2.0,https://github.com/mde/filelist
human-signals,2.1.0;5.0.0;8.0.1,Apache-2.0,https://www.github.com/ehmicky/human-signals
jake,10.9.4,Apache-2.0,https://github.com/jakejs/jake#readme
openai,7.10.0,Apache-2.0,https://github.com/openai/openai-node#readme
playwright,1.63.0,Apache-2.0,https://playwright.dev
playwright-core,1.63.0,Apache-2.0,https://playwright.dev
reflect-metadata,0.2.2,Apache-2.0,http://rbuckton.github.io/reflect-metadata
rxjs,7.8.2,Apache-2.0,https://rxjs.dev
sharp,0.35.4,Apache-2.0,https://sharp.pixelplumbing.com
text-decoder,1.2.7,Apache-2.0,https://github.com/holepunchto/text-decoder#readme
typescript,5.9.3,Apache-2.0,https://www.typescriptlang.org/
web-worker,1.5.0,Apache-2.0,https://github.com/developit/web-worker
workflow,4.8.5,Apache-2.0,https://github.com/vercel/workflow#readme
@swc/core-darwin-arm64,1.15.3,Apache-2.0 AND MIT,https://swc.rs
dotenv,17.4.2,BSD-2-Clause,https://github.com/motdotla/dotenv#readme
glob-to-regexp,0.4.1,BSD-2-Clause,https://github.com/fitzgen/glob-to-regexp#readme
http-cache-semantics,4.2.0,BSD-2-Clause,https://github.com/kornelski/http-cache-semantics#readme
json-schema-typed,8.0.2,BSD-2-Clause,https://github.com/RemyRylan/json-schema-typed/tree/main/dist/node
d3-ease,3.0.1,BSD-3-Clause,https://d3js.org/d3-ease/
diff,8.0.4;9.0.0,BSD-3-Clause,https://github.com/kpdecker/jsdiff#readme
fast-uri,3.1.7,BSD-3-Clause,https://github.com/fastify/fast-uri
ieee754,1.2.1,BSD-3-Clause,https://github.com/feross/ieee754#readme
qs,6.16.0,BSD-3-Clause,https://github.com/ljharb/qs
source-map,0.7.6,BSD-3-Clause,https://github.com/mozilla/source-map
source-map-js,1.2.1,BSD-3-Clause,https://github.com/7rulnik/source-map-js
chownr,3.0.0,BlueOak-1.0.0,https://github.com/isaacs/chownr#readme
glob,13.0.6,BlueOak-1.0.0,https://github.com/isaacs/node-glob#readme
isexe,4.0.0,BlueOak-1.0.0,https://github.com/isaacs/isexe#readme
lru-cache,11.5.2,BlueOak-1.0.0,https://github.com/isaacs/node-lru-cache#readme
minimatch,10.2.6,BlueOak-1.0.0,https://github.com/isaacs/minimatch#readme
minipass,7.1.3,BlueOak-1.0.0,https://github.com/isaacs/minipass#readme
path-scurry,2.0.2,BlueOak-1.0.0,https://github.com/isaacs/path-scurry#readme
tar,7.5.22,BlueOak-1.0.0,https://github.com/isaacs/node-tar#readme
yallist,5.0.0,BlueOak-1.0.0,https://github.com/isaacs/yallist#readme
caniuse-lite,1.0.30001810,CC-BY-4.0,https://github.com/browserslist/caniuse-lite#readme
@composio/core,0.18.1,ISC,https://github.com/ComposioHQ/composio/tree/next/ts/packages/core#readme
@composio/json-schema-to-zod,0.3.2,ISC,https://github.com/ComposioHQ/composio/tree/next/ts/packages/json-schema-to-zod#readme
@isaacs/fs-minipass,4.0.1,ISC,https://github.com/npm/fs-minipass#readme
@ungap/structured-clone,1.4.0,ISC,https://github.com/ungap/structured-clone#readme
ansi-align,3.0.1,ISC,https://github.com/nexdrew/ansi-align#readme
ansis,3.17.0,ISC,https://github.com/webdiscus/ansis#readme
d3-array,3.2.4,ISC,https://d3js.org/d3-array/
d3-color,3.1.0,ISC,https://d3js.org/d3-color/
d3-format,3.1.2,ISC,https://d3js.org/d3-format/
d3-interpolate,3.0.1,ISC,https://d3js.org/d3-interpolate/
d3-path,3.1.0,ISC,https://d3js.org/d3-path/
d3-scale,4.0.2,ISC,https://d3js.org/d3-scale/
d3-shape,3.2.0,ISC,https://d3js.org/d3-shape/
d3-time,3.1.0,ISC,https://d3js.org/d3-time/
d3-time-format,4.1.0,ISC,https://d3js.org/d3-time-format/
d3-timer,3.0.1,ISC,https://d3js.org/d3-timer/
graceful-fs,4.2.11,ISC,https://github.com/isaacs/node-graceful-fs#readme
inherits,2.0.4,ISC,https://github.com/isaacs/inherits#readme
inspect-with-kind,1.0.5,ISC,https://github.com/shinnn/inspect-with-kind#readme
internmap,2.0.3,ISC,https://github.com/mbostock/internmap/
isexe,2.0.0,ISC,https://github.com/isaacs/isexe#readme
iterare,1.2.1,ISC,https://github.com/felixfbecker/iterare#readme
lru-cache,10.4.3,ISC,https://github.com/isaacs/node-lru-cache#readme
lucide-react,0.577.0,ISC,https://lucide.dev
minimatch,5.1.9;9.0.9,ISC,https://github.com/isaacs/minimatch#readme
once,1.4.0,ISC,https://github.com/isaacs/once#readme
pg-int8,1.0.1,ISC,https://github.com/charmander/pg-int8#readme
picocolors,1.1.1,ISC,https://github.com/alexeyraspopov/picocolors#readme
qrcode.react,4.2.0,ISC,http://zpao.github.io/qrcode.react
semver,7.7.4;7.8.5,ISC,https://github.com/npm/node-semver#readme
setprototypeof,1.2.0,ISC,https://github.com/wesleytodd/setprototypeof
siginfo,2.0.0,ISC,https://github.com/emilbayes/siginfo#readme
signal-exit,3.0.7;4.1.0,ISC,https://github.com/tapjs/signal-exit#readme
split2,4.2.0,ISC,https://github.com/mcollina/split2#readme
strip-dirs,3.0.0,ISC,https://github.com/shinnn/node-strip-dirs#readme
universal-user-agent,7.0.3,ISC,https://github.com/gr2m/universal-user-agent#readme
which,2.0.2,ISC,https://github.com/isaacs/node-which#readme
wrappy,1.0.2,ISC,https://github.com/npm/wrappy
zod-to-json-schema,3.25.2,ISC,https://github.com/StefanTerdell/zod-to-json-schema#readme
@img/sharp-libvips-darwin-arm64,1.3.3,LGPL-3.0-or-later,https://sharp.pixelplumbing.com
@alcalzone/ansi-tokenize,0.2.5,MIT,
@anthropic-ai/sdk,0.124.0,MIT,https://github.com/anthropics/anthropic-sdk-typescript#readme
@babel/runtime,7.29.7;8.0.0,MIT,https://babel.dev/docs/en/next/babel-runtime
@better-auth/core,1.7.2,MIT,https://www.better-auth.com
@better-auth/drizzle-adapter,1.7.2,MIT,https://www.better-auth.com/docs/adapters/drizzle
@better-auth/kysely-adapter,1.7.2,MIT,https://www.better-auth.com/docs/adapters/kysely
@better-auth/memory-adapter,1.7.2,MIT,https://www.better-auth.com
@better-auth/mongo-adapter,1.7.2,MIT,https://www.better-auth.com/docs/adapters/mongodb
@better-auth/oauth-provider,1.7.2,MIT,https://www.better-auth.com/docs/plugins/oauth-provider
@better-auth/prisma-adapter,1.7.2,MIT,https://www.better-auth.com/docs/adapters/prisma
@better-auth/telemetry,1.7.2,MIT,https://www.better-auth.com
@better-auth/utils,0.4.2;0.5.0,MIT,https://github.com/better-auth/utils#readme
@better-fetch/fetch,1.3.1,MIT,https://github.com/better-auth/better-fetch#readme
